"filename", "language", "Markdown", "C++", "Properties", "C", "JSON", "Shell Script", "YAML", "Ini", "Python", "comment", "blank", "total"
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Bridge\Bridge_WiFi\Bridge_WiFi.ino", "C++", 0, 29, 0, 0, 0, 0, 0, 0, 0, 45, 14, 88
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Cloud\Blinker_CLOUDDATA\CLOUDDATA_WiFi\CLOUDDATA_WiFi.ino", "C++", 0, 32, 0, 0, 0, 0, 0, 0, 0, 44, 13, 89
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Cloud\Blinker_Coordinate\Coordinate_WiFi\Coordinate_WiFi.ino", "C++", 0, 34, 0, 0, 0, 0, 0, 0, 0, 44, 14, 92
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Cloud\Blinker_DataStorage\Blinker_ConfigData\Blinker_ConfigData.ino", "C++", 0, 35, 0, 0, 0, 0, 0, 0, 0, 45, 13, 93
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Cloud\Blinker_DataStorage\Blinker_TextData\Blinker_TextData.ino", "C++", 0, 25, 0, 0, 0, 0, 0, 0, 0, 44, 11, 80
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Cloud\Blinker_DataStorage\Blinker_TimeSlotData\Blinker_TimeSlotData.ino", "C++", 0, 32, 0, 0, 0, 0, 0, 0, 0, 44, 12, 88
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Cloud\Blinker_GPSData\GPSData_WiFi\GPSData_WiFi.ino", "C++", 0, 33, 0, 0, 0, 0, 0, 0, 0, 50, 13, 96
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Cloud\Blinker_LOG\LOG_WiFi\LOG_WiFi.ino", "C++", 0, 34, 0, 0, 0, 0, 0, 0, 0, 44, 14, 92
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_ESP32_CAM\Blinker_ESP32_CAM.ino", "C++", 0, 32, 0, 0, 0, 0, 0, 0, 0, 44, 14, 90
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_ESP32_CAM\ESP32_CAM_SERVER.h", "C++", 0, 206, 0, 0, 0, 0, 0, 0, 0, 21, 29, 256
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Hello\Blinker_HTTP\Blinker_HTTP.ino", "C++", 0, 39, 0, 0, 0, 0, 0, 0, 0, 50, 14, 103
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Hello\Hello_BLE\Hello_BLE.ino", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 44, 11, 85
